"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"Engineering Curriculum in Support of Industry 4.0","https://scispace.com/paper/engineering-curriculum-in-support-of-industry-4-0-51lp4g7mwh","2021","Journal Article","","Tom Eppes
Ivana Milanovic
Reihaneh Jamshidi
Devdas Shetty","10.3991/IJOE.V17I01.17937","https://scispace.com/pdf/engineering-curriculum-in-support-of-industry-4-0-51lp4g7mwh.pdf","The paper discusses how multiphysics simulations and applications are being used to build essential skills in preparation for entry into an Industry 4.0 workforce. In a highly networked and collaborative human/machine cyberspace, some important competencies for engineering graduates include the ability to: (1) explore design options and results easily between suites of software, (2) predict and visualize performance of complex problems in the beginning phase of the design process, and (3) identify and optimize key parameters prior to fabrication. We describe how integrated project- and inquiry-based learning in the context of a simulation environment and across the curriculum is improving student readiness and transition into industry. Our paper offers a template of how to transition into a curriculum that produces newly minted engineers better equipped to engage in complex design. Examples of project assignments, assessment methods, and student work are discussed as well as future plans.","dimension, i.e., time, since many specialties such as signal processing, circuit design, control, and data acquisition do not necessarily require spatial dimensions considerations. However, most graduate without ever learning how to solve problems or create designs in a multidimensional setting. Introduction:
 Professional electives that focus on advanced modeling and simulation are available to all 4 th year UGs and Masters' candidates. These courses have proven to be of great value as students benefit from exposure to design concepts/issues outside of their discipline such as heat transfer for EE/CompE and electromagnetic fields for ME. Educational implications of industry 4.0:
 The term Industry 4.0 describes a wide range of technologies and capabilities that make up what is now considered to be the fourth generation of major trends in the global state of manufacturing and services. A well supported definition of Industry 4.0 is presented by Hermann et. al.  as: 'Industry 4.0 is a collective term for technologies and concepts of value chain organization. Within the modular structured Smart Factories Paper-Engineering Curriculum in Support of Industry 4.0 of Industry 4.0, Cyber-Physical Systems (CPS) monitor physical processes, create a virtual copy of the physical world and make decentralized decisions. Over the IoT (Internet of Things), CPS communicate and cooperate with each other and humans in real time. Via the IoS (Internet of Services), both internal and cross-organizational services are offered and utilized by participants of the value chain.' The implementation of CPS combined with IoT can provide intelligent systems capable of self-learning which represents the core of Industry 4.0 . As part of intelligent system, machine learning (ML) is implemented in various manufacturing fields with the goal of extracting knowledge out of existing data . The new knowledge supports the process of making predictions or decision making in a manufacturing system . The three previous revolutions transpired over the past 250 years and are characterized by (1) mechanization via steam and water power, (2) interchangeable parts and mass production with electrically-powered assembly lines, and (3) integration of computers for automated process control. For Industry 4.0, some of the key aspects involve: (1) artificial intelligence and big data integrated into machine learning, prediction, and decision-making, (2) continued expansion of software tools and applications in a highly networked environment, (3) new/advanced materials and fabrication processes, and (4) humans/machines working in a virtual and collaborative setting."
"Efficient Secure Routing Mechanisms for the Low-Powered IoT Network: A Literature Review","https://scispace.com/paper/efficient-secure-routing-mechanisms-for-the-low-powered-iot-3c1u9z97","2023","Journal Article","Electronics","Muhammad Zunnurain Hussain
Zurina Mohd Hanapi","10.3390/electronics12030482","https://scispace.com/pdf/efficient-secure-routing-mechanisms-for-the-low-powered-iot-3c1u9z97.pdf","The Wireless Sensor Network in the Internet of Things (WSN-IoT) has been flourishing as another global breakthrough over the past few years. The WSN-IoT is reforming the way we live today by spreading through all areas of life, including the dangerous demographic aging crisis and the subsequent decline of jobs. For a company to increase revenues and cost-effectiveness growth should be customer-centered and agile within an organization. WSN-IoT networks have simultaneously faced threats, such as sniffing, spoofing, and intruders. However, WSN-IoT networks are often made up of multiple embedded devices (sensors and actuators) with limited resources that are joined via various connections in a low-power and lossy manner. However, to our knowledge, no research has yet been conducted into the security methods. Recently, a Contiki operating system’s partial implementation of Routing Protocol for Low Power & Lossy Network RPL’s security mechanisms was published, allowing us to evaluate RPL’s security methods. This paper presents a critical analysis of security issues in the WSN-IoT and applications of WSN-IoT, along with network management details using machine learning. The paper gives insights into the Internet of Things in Low Power Networks (IoT-LPN) architecture, research challenges of the Internet of Things in Low Power Networks, network attacks in WSN-IoT infrastructures, and the significant WSN-IoT objectives that need to be accompanied by current WSN-IoT frameworks. Several applied WSN-IoT security mechanisms and recent contributions have been considered, and their boundaries have been stated to be a significant research area in the future. Moreover, various low-powered IoT protocols have been further discussed and evaluated, along with their limitations. Finally, a comparative analysis is performed to assess the proposed work’s performance. The study shows that the proposed work covers a wide range of factors, whereas the rest of the research in the literature is limited.","4.0. Subsequently, the existing literature is discussed in Section 7. Similarly, a comparative analysis of the proposed work with the current work is discussed in Section 8, and finally, the conclusion and findings are described in Section 9. IoT in Industry 4.0:
 A company should adapt its manufacturing and logistics processes to follow emerging technology in this modern era. Profitability and cost-effectiveness have increased as business has expanded. Customer-centric development methods should be included, and internal business agility should be prioritized. Similarly, the transformation of all social and business structures around digital communication can be described as ""digitalization."" Digital innovations are incorporated into corporate activity by digitalizing all conceivable operations . However, IoT provides the opportunity to view data from anywhere and share data between computers, devices, and nodes. Manufacturing processes are interconnected and there are real-time flows between all aspects of the supply chain . The IIoT is a particular IoT field that emphasizes its implementations and uses for new industries and intellectual development. It is a dynamic structure with a wide range of processes. Besides, it is a central feature of the manufacturing sphere and is closely tied to the fourth industrial revolution (IR 4.0) . It combines several cutting-edge critical technologies to produce a system that outperforms the sum of its parts. This one-of-a-kind domain stands out for its many innovative applications and services and its myriad integrated appliances and modern manufacturing operations . Through the use of core technologies such as Cyber-Physical Systems (CPSs); IoT; autonomous, scalable, cooperative robotics; the Internet of Services (IoS); simulations that exploit real-time data to create a computer model that reflects the actual world; big data analytics; and enhanced re-assembly, IR 4.0 aims to improve and update existing production plants, maintenance and management processes, and technology to an intellectual level . The term ""responsibility"" refers to determining whether a person is responsible for their actions. A top-down and bottom-up system would create an integrated network that helps an automated supply chain build skills, functions, divisions, and companies. The presentation, analysis, and interpretation of data from various sources, including industrial processes, warehouses, and corporate consumer information systems, has become the norm in IR 4.0 to aid real-time decision-making. Networking technology, smartphones, sensors, applications, middleware, and storage devices are all included. IoT in Industry 4.0:
 Simply put, Industry 4.0 alters both living and working practices. However, a new era in human history becomes possible through technological developments comparable to the first, second, and third industrial revolutions. They provide more automation and act as a bridge between the physical and digital worlds by using a cyber-physical system (CPS), which is a fundamental component of the smart factory as envisioned by Industry 4.0. CPS is a manufacturing system that uses sensors and software throughout the manufacturing process. Sensors collect and preserve data, which is subsequently analyzed by a computer to make various decisions. These decisions immediately impact the physical system via actuators and human-machine interfaces."
"Navigating Industry 4.0 Frontiers: A Scalable and Resilient Next-Generation IoT Framework to Implement Future Advancements in Smart and Adaptive Industrial Systems","https://scispace.com/paper/navigating-industry-4-0-frontiers-a-scalable-and-resilient-2gsspctc44","2024","Journal Article","Journal of Electrical Systems","Bireshwar Ganguly
Dr.Devashri Kodgire
Samir N. Ajani
Praveen H. Sen
Nilesh Shelke
Anil W.Kale","10.52783/jes.784","https://scispace.compdf/navigating-industry-4-0-frontiers-a-scalable-and-resilient-2gsspctc44.pdf","The emergence of Industry 4.0 signifies a paradigm shift in industrial systems, characterized by the amalgamation of digital technologies with tangible operations. The goal of this study is to present a state-of-the-art, scalable, and robust Internet of Things (IoT) framework that will enable future innovations in intelligent and adaptable industrial systems to be seamlessly integrated. Our framework gives scalability first priority in response to Industry 4.0's dynamic nature, which is marked by fast technical evolution and rising connection in order to handle the expanding ecosystem of networked devices. The suggested structure places a strong emphasis on resilience and is designed to resist setbacks and guarantee the continuation of vital industrial processes. Our framework improves industrial systems' intelligence by utilizing edge computing, machine learning techniques, and improved communication protocols. This allows the systems to self-adapt to changing situations. Moreover, it adopts a modular architecture that facilitates interoperability and makes it simple to integrate various devices and technologies. Our IoT framework creates a solid, flexible, and future-proof industrial environment with this all-encompassing strategy, enabling businesses to confidently and effectively traverse Industry 4.0's frontiers.","breakthroughs, laying the groundwork for future intelligent and adaptable industrial systems. INTRODUCTION: The research paper is organized as follows: Section II reviews relevant literature and points out any gaps. In Section III, the conceptual framework is presented and its essential elements clarified. INTRODUCTION:
 The methodology, including the research design and data analysis, is described in Section IV. Results and comments that link empirical data with the conceptual framework are presented in Section V. INTRODUCTION:
 The paper's contribution to knowledge and practical applications is confirmed by a succinct review of the main findings, their consequences, and potential directions for future research in Section VI. Readers are expertly guided by this well-organized structure from the literature review to conceptual development, technique, and a cogent conclusion. II.:
 LITERATURE REVIEW Industry 4.0 represents a paradigm shift in the industrial sector, therefore understanding the benefits and difficulties of this transformative era will require a careful review of the material that has already been published. II.:
 The first section of the literature review explores the fundamental ideas of Industry 4.0, with a focus on the Internet of Things (IoT), sophisticated data analytics, and the integration of cyber-physical systems. II.:
 Academics like ,  have played a crucial role in establishing the fundamental ideas of Industry 4.0, emphasizing the merging of digital and physical processes. The studies of ,  shed light on the function of networked devices in industrial environments within the framework of IoT. II.:
 These studies highlight how important the Internet of Things is to improving communication, data collection, and decision-making. Industry 4.0 depends heavily on connection, so having a scalable foundation is essential. II.:
 The study , which highlights the requirement for adaptable architectures able to handle the constantly expanding network of devices and systems, resonates with the scalability issue. II.:
 The literature highlights resilience as a crucial subject, mirroring the difficulties presented by Industry 4.0's interconnectedness. Notable works ,  highlight the significance of developing resilient systems that can resist shocks, such as cyberattacks or system outages. II.:
 The importance of taking preventative action to guarantee the continuation of vital industrial processes is highlighted by this research. The literature review delves into the domain of intelligent and flexible industrial systems, examining the works . II.:
 The notion of adaptability is intimately linked to the agility demanded by Industry 4.0, enabling industrial systems to react in real time to changing circumstances. II.:
 The literature review offers a thorough comprehension of Industry 4.0, Internet of Things, scalability, resilience, and the necessity of intelligent and flexible industrial systems. The study paper's subsequent sections will expand on this fundamental understanding to provide a scalable and durable framework for the upcoming generation of industrial systems. III. NEXT GENERATION IOT FRAMEWORK:
 By 2025, it is predicted that the exponential growth of Internet of Things (IoT) devices will reach unprecedented heights, with every gadget being connected. 500 billion IoT-connected devices, according to Cisco's projections, will exist by 2030. III. NEXT GENERATION IOT FRAMEWORK:
 Remarkably, Telefonica projects that by the same year, 90% of cars will be connected, and each person would have an average of 15 devices."
"Digitalna transformacija kao temelj 4. industrijske revolucije","https://scispace.com/paper/digitalna-transformacija-kao-temelj-4-industrijske-8842n47hhd","2017","Dissertation","","Nino Basara","","https://scispace.com/pdf/digitalna-transformacija-kao-temelj-4-industrijske-8842n47hhd.pdf","Danas se svijet nalazi na pragu novog industrijskog razdoblja koje je temeljeno na sve ubrzanijem razvoju tehnologije. Novo industrijsko razdoblje, odnosno nova industrijska revolucija, nazvana je Industrija 4.0. Danasnja tehnologija koja omogucava olaksanu komunikacija i povezanost s cijelim svijetom otvara vrata znacajkama Industrije 4.0, a to je direktna mogucnost potrosaca da biraju proizvode prema vlastitim potrebama i time samostalno mijenjaju planove kompanija koje se nalaze na tržistu. Promjene koje sa sobom donosi Industrija 4.0 ne povezuju se iskljucivo sa proizvodnim procesom i pracenjem životnog vijeka proizvoda uz pomoc digitalnih tehnologija, vec direktno utjecu na promjenu poslovne paradigme, promjene u nacinu rada i kvalifikacijama koje se traže od radnika, promjene drustvenog života generalno, ali i promjene u obrazovnom sustavu. Digitalna transformacija, kako se jos naziva, podrazumijeva povezivanje svih cimbenika proizvodnih procesa u umreženi lanac vrijednosti, prikupljajuci i analizirajuci podatke u svrhu unapređenja procesa ukljucenih u proizvodnju, optimizacije troskova, stjecanja konkurentske prednosti, te ispunjavanja ocekivanja i želja kupaca. Kroz provedeno istraživanje prikazano je stanje hrvatske industrije u odnosu na zahtjeve Industrije 4.0. na nacin da je prikazana primjena koncepata Industrije 4.0, te detaljnije analizirano na primjeru tvornice stakla Duran d.d. u Puli.","Keywords: Industrija 4.0, Internet, Pametna tvornica Industry 4.0, Internet, Smart factory"
"Discrete Event Simulation and Virtual Reality Use in Industry: New Opportunities and Future Trends","https://scispace.com/paper/discrete-event-simulation-and-virtual-reality-use-in-b4vlhaukri","2016","Journal Article","IEEE Transactions on Human-Machine Systems","Christopher Turner
Windo Hutabarat
John Oyekan
Ashutosh Tiwari","10.1109/THMS.2016.2596099","https://scispace.com/pdf/discrete-event-simulation-and-virtual-reality-use-in-b4vlhaukri.pdf","This paper reviews the area of combined discrete event simulation (DES) and virtual reality (VR) use within industry. While establishing a state of the art for progress in this area, this paper makes the case for VR DES as the vehicle of choice for complex data analysis through interactive simulation models, highlighting both its advantages and current limitations. This paper reviews active research topics such as VR and DES real-time integration, communication protocols, system design considerations, model validation, and applications of VR and DES. While summarizing future research directions for this technology combination, the case is made for smart factory adoption of VR DES as a new platform for scenario testing and decision making. It is put that in order for VR DES to fully meet the visualization requirements of both Industry 4.0 and Industrial Internet visions of digital manufacturing, further research is required in the areas of lower latency image processing, DES delivery as a service, gesture recognition for VR DES interaction, and linkage of DES to real-time data streams and Big Data sets.","factory, with 3-D environments and visualization essential for understanding and knowledge share . A framework for the Virtual Factory addressing its data exchange challenges is put forward by Kádár et al. and will be discussed in greater detail in the following section. III. VIRTUAL FACTORY: A SMART FACTORY IN WAITING?:
 Launched in 2011 as a research alliance formed at the behest of the German Government, industry 4.0 has been referred to in literature as the fourth industrial revolution (see ). Under Industry 4.0, advances in technologies ranging from cyberphysical systems (CPS) to the Internet of Things, Big Data, and Cloud technologies have been melded together into a comprehensive research agenda for the future of manufacturing. In a similar vein, the Industrial Internet is a consortium formed from organizations such as General Electric, IBM, and Cisco Systems , which also set an agenda for the structured research into enabling technologies for, among other sectors, manufacturing. Promising a step change in the way factories operate, both initiatives give mention to the role of simulation. The Smart Factory for some is the manifestation of the much trailed Industry 4.0 initiative and perhaps the practical implementation of the virtual factory concept. Incorporating elements of self-organization and the latest advances in CPS smart factories are an attempt to realize agile production systems to satisfy fast changing consumer markets . Of particular interest to the operation of smart factories is the ability to visualize the end to end operation of production facilities and their related supply chains . Posada et al.  elaborate on the value and role of visualization to this paradigm citing industrial use case examples such as realtime resource usage, optimized decision making based on live production data, safe robot and human worker interactions, and new production line planning. One particular argument is that the real-time integration between VR DES would be essential for the visualization of smart factory operations. In the next section, the delivery of this need is examined in more detail. Table  outlines the evolution of the factory from the traditional factory with its roots in the 1970s-1980s, where the supporting systems are heterogeneous, disconnected, and data analysis is largely a manual operation with the decision cycle which may be measured in months. III. VIRTUAL FACTORY: A SMART FACTORY IN WAITING?:
 The Virtual factory creates a step change in that it utilizes simulation modeling software such as DES and 3-D representations along with interlinked ""intelligent software"" to aid the analysis of data and aid the decision-making process. The visualization provided by DES and 3D representations is valuable as ""what if"" scenarios may be created and tested in a matter of hours offering a real advantage over disparate manual approaches. The virtual factory does not fully encompass the technologies available today, factory systems are not fully interlinked, and real-time or near to real-time data analysis is difficult if not impossible to achieve. The smart factory finally realizes the interconnectivity promised at the start of the Internet age. Full interconnectivity delivers decision support and data analysis in real time. Decision outcomes can be visualized in 3-D utilizing mixed reality allowing users to view DES simulations overlaid on the real-world view as they walk around a factory. The smart factory vision also allows for semiautonomous operation of the factory; decisions selected in DES can be automatically applied to factory floor machines."
"The Platform of Intelligent Manufacturing System Based on Industry 4.0","https://scispace.com/paper/the-platform-of-intelligent-manufacturing-system-based-on-4oygfujxmb","2018","Book Chapter","International Conference on Advances in Production Management Systems","Jinghui Yang
Guorong Huang
Qi Hang","10.1007/978-3-319-99704-9_43","https://scispace.com/pdf/the-platform-of-intelligent-manufacturing-system-based-on-4oygfujxmb.pdf","Intelligent manufacturing has become a development trend for manufacture industry. But there only have few labs that can demonstrate more comprehensive concepts of intelligent manufacturing. To fill the blank of this area and promote the development of intelligent manufacturing, we start this project and build up a platform that demonstrate how intelligent manufacturing system is working and upon which we can explore the feasible scheme for companies and teach students about intelligent manufacturing visually. We combine hardware like industrial robots, enterprise management software like MES, ERP and cloud platform to build a sustainable system of intelligent manufacturing. This platform is designed for scientific research, experimental teaching, enterprises training and work out solution for enterprises.","Title: The Platform of Intelligent Manufacturing System Based on Industry 4.0 Keywords: Industry 4.0, intelligent manufacturing, smart factory, system integration"
"Digital Twins and Industry 4.0 Technologies for Agricultural Greenhouses","https://scispace.com/paper/digital-twins-and-industry-4-0-technologies-for-agricultural-2bfpakje","2022","Journal Article","Smart cities","N. Slob
William J. Hurst","10.3390/smartcities5030059","https://scispace.com/pdf/digital-twins-and-industry-4-0-technologies-for-agricultural-2bfpakje.pdf","Digital twin (DT) is one of the key concepts of the fourth industrial revolution (Industry 4.0). A DT is a data-driven, digital replica of a real-world object or environment, including all the states and behaviour of the real-life counterpart. Based on research across multiple domains, DTs show great potential to improve both efficiency and sustainability. In addition, a DT is able to remove key constraints of human observations and interactions. Yet, the technology is still in its infancy. Thus, this article presents a literature search across five different databases focusing on suitable approaches for data coupling and the stages of DT implementation integration with Industry 4.0 technologies. The review process follows the systematic literature review (SLR) methodology. The selected articles cover a wide range of DT implementations across the agricultural industry, ranging from arable farming to aquaponics. Findings include identification of the stages needed to create the DTs, the data coupling processes, and how Industry 4.0 technologies (e.g., cloud-based technologies, IoT, and AI subfields) are integrated. Findings presented in this article will support others in the design of DTs and integration of Industry 4.0 technologies for agricultural greenhouses.","and making these services more readily accessible through the internet. Smart factory combines the power of the previously mentioned concepts (CPS, IoT, and IoS). A smart factory is based upon decentralised production where human, resource, and machine communicate seamlessly. DT and Industry 4.0:
 At the time of conducting this investigation, no literature review articles were found that focussed on the technologies, data, or the development of (specifically) greenhouse DTs. However, Pylianidis, et al.  conducted a literature review on the application of DTs in agriculture focusing on the potential of the DT in agriculture. The authors concluded that most DTs were still in their primary stage, and therefore, the DTs did not yet offer the same benefits as found in other domains. Furthermore, they suggested starting implementing DTs with simpler functionalities and gradually adding more complex parts. Verdouw, et al.  analysed what DTs can contribute to the advancement of smart farming. They defined the concept and introduced a typology of DTs based on literature. In addition, they proposed a conceptual framework for the implementation and design of DTs. This framework was validated and applied in a case study. Based on the study, they defined a DT as a dynamic representation of a real-life object that mirrors its At the time of conducting this investigation, no literature review articles were found that focussed on the technologies, data, or the development of (specifically) greenhouse DTs. However, Pylianidis, et al.  conducted a literature review on the application of DTs in agriculture focusing on the potential of the DT in agriculture. The authors concluded that most DTs were still in their primary stage, and therefore, the DTs did not yet offer the same benefits as found in other domains. Furthermore, they suggested starting implementing DTs with simpler functionalities and gradually adding more complex parts. Verdouw, et al.  analysed what DTs can contribute to the advancement of smart farming. They defined the concept and introduced a typology of DTs based on literature. In addition, they proposed a conceptual framework for the implementation and design of DTs. This framework was validated and applied in a case study. Based on the study, they defined a DT as a dynamic representation of a real-life object that mirrors its states and behaviour across its lifecycle. This application can be used to monitor, analyse, and simulate current and future states of and interventions. Further, this can involve the use of data integration, artificial intelligence, and machine learning. DT and Industry 4.0:
 Furthermore, Sreedevi and Santosh Kumar  found a variety of applications of DTs in agriculture based on ten articles. Based on the knowledge they gained through the review, they discussed how the application of similar techniques was to be applied in a case study on aquaponics. DT and Industry 4.0:
 Following this discussion, in the following sub-section, a literature review of DTs in the agricultural domain was provided first by selecting databases; then, defining the search strategy, defining the search string, and defining the selection criteria were performed before the actual search was started. Collecting and selecting papers, quality assessment, extracting data, and synthesizing data describe the steps performed during the search for papers."
"Industry’s 4.0 transformation process: how to start, where to aim, what to be aware of","https://scispace.com/paper/industry-s-4-0-transformation-process-how-to-start-where-to-1wvjzztesw","2020","Journal Article","Production Planning & Control","Armando Calabrese
Manoj Dora
Nathan Levialdi Ghiron
Luigi Tiburzi","10.1080/09537287.2020.1830315","https://scispace.com/pdf/industry-s-4-0-transformation-process-how-to-start-where-to-1wvjzztesw.pdf","Industry 4.0 has fused digitalisation with traditional industrial processes bridging the physical and virtual worlds and opening unimagined possibilities for 21st century business growth. Research ...","where to aim, what to be aware of Authors: Armando Calabrese,Manoj Dora,Nathan Levialdi Ghiron,Luigi Tiburzi Keywords: Industry 4.0, digital transformation, manufacturing, framework, journey Introduction:
 The term Industry 4.0 has been introduced for the first time at the 2011 Hannover fair and has made its first official appearance in literature in 2013 as a project launched by the German government to promote the renovation of the country's factories ). Industry 4.0 is a new industrial transformation that aims to connect people and things 'anytime, anyplace, with anything and anyone, ideally using any path/network and any service' . Smart mobility, logistics, buildings, products, grids are different applications of Industry 4.0, although smart factories are its focal point . The logic behind smart factories aims to transform industrial production from a nuts-and-bolts process to an integrated cyber-physical production system . Introduction:
 From a conceptual standpoint, Industry 4.0 is a transformative journey in which changes can be both evolutionary and revolutionary ). On the one hand, changes can be evolutionary because some of Industry's 4.0 enabling technologies, such as sensors and robots, are the result of a long-wave innovation that began with the Third Industrial Revolution . On the other hand, Industry 4.0 can be a revolutionary journey because it can affect manufacturers' core business, shifting it from making and selling products to providing solutions . At any rate, Industry 4.0 is a transformation enabled by a series of technologies which provide new and improved approaches to value creation, proposition, and capture (e.g. enhanced productivity, better quality products, better working conditions, sustainability, development of innovative capabilities and new revenue models) . Introduction:
 Up to recently, research has contributed mainly to the technical side of Industry 4.0 . Managerial studies have focused on theoretical investigations of Industry's 4.0 ontology ; on its link with other practices such as sustainability , circular economy ) and lean manufacturing ; and on some of its challenges (e.g. migration paths for implementation and business models innovation) . Introduction:
 Studies sustaining managers who are piloting their factories through the Industry's 4.0 transformative journey are still scarce . Previous studies on this topic from either peer-reviewed or grey literature have moved in three main directions. First, they have elaborated frameworks to categorize the major Industry's 4.0 enabling technologies, thus sustaining managers in understanding the factory areas  affected by each technology . Introduction:
 Second, they have developed assessment models to support firms in evaluating their progress in the adoption of the main Industry's 4.0 enablers and in tackling its primary barriers . Third, they have analysed the benefits and business model's changes of specific enablers, such as blockchain, artificial intelligence, and additive manufacturing technologies (Zhang and Chen 2020; . Introduction:
 A holistic framework is still missing to aid managers in choosing the right combinations of Industry's 4.0 enabling technologies to reach specific goals and to warn them against the most relevant barriers . This study develops one such framework. Introduction:
 Through a systematic literature review, this paper identifies and categorizes the primary Industry's 4.0 enablers, goals, and barriers. Subsequently, a framework linking these elements is built ."
"Inteligentne rozwiązania techniczne w przemyśle. Cz. I","https://scispace.com/paper/inteligentne-rozwiazania-techniczne-w-przemysle-cz-i-45iulci06i","2015","Journal Article","Occupational Safety – Science and Practice","Grzegorz Gralewicz","10.5604/01377043.1214482","https://scispace.com/pdf/inteligentne-rozwiazania-techniczne-w-przemysle-cz-i-45iulci06i.pdf","","Authors: Centralny Instytut,Ochrony Pracy -Państwowy,Instytut Badawczy Keywords: Industry 4.0, intelligent factories, Internet of things, digital factory"
"A Study on Industry 4.0 Concept","https://scispace.com/paper/a-study-on-industry-4-0-concept-4hxr0q624y","2020","Journal Article","International Journal of Engineering Research and","Chaitanya Vijay Bidnur","10.17577/IJERTV9IS040569","https://scispace.com/pdf/a-study-on-industry-4-0-concept-4hxr0q624y.pdf","","in the last decade and are now ready to be used as commercially available, interconnected systems within manufacturingthis is Industry 4.0. It holds the key to accessing real-time results and data that will catapult the industry into new levels of lean achievements. IMPORTANCE & SCOPE OF TECHNOLOGY IN:
 The concept of Industry 4.0 however, is not a simple one. It envelops many technologies and is used in a variety of different contexts. There are five pieces that define Industry 4.0 at its core. Each piece is similar in nature but, when integrated together, create capability that has never before been possible. In an effort to understand Industry 4.0, the following five terms are explained as they contribute to the next industrial revolution: As per Forbes, Big Data is a collection of data from traditional and digital sources inside and outside your company that represents a source for ongoing discovery and analysis. Today data is collected everywhere, from systems and sensors to mobile devices. The challenge is that the industry is still in the process of developing methods to best interpret data. It's the evolution of Industry 4.0 that will change the way organizations and solutions within those organizations work together; teams will be able to make better, smarter decisions. SMART FACTORY::
 The concept of Smart Factory is the seamless connection of individual production steps, from planning stages to actuators in the field. In the near future, machinery and equipment will be able to improve processes through selfoptimization; systems will autonomously adapt to the traffic profile and network environment. Autonomous Mobile Robots (AMRs) are an integral part of the Smart Factory, as their autonomous intelligence connects the factory together, allowing seamless operations. SMART FACTORY::
 Leading by example is the Siemens Electronic Works facility in Amberg, Germany. Smart machines coordinate production and global distribution or a built-to-order process involving roughly 1.6 billion components. When the Smart Factory is achieved, it will represent a pivotal shift for Industry 4.0, as the revolution will begin to roll out across multiple verticals. Various markets spanning healthcare to consumer goods will adapt Industry 4.0 technologies initially modelled in the Smart Factory. CYBER PHYSICAL SYSTEMS:
 Cyber physical systems are integrations of computation, networking and physical processes. Computers and networks monitor and control physical processes with feedback loops; the physical system reacts; the system uses software to interpret actions and tracks results. The notion centers on computers and software being embedded in devices where the first use is not computation; rather it is a loop of action and machine learning. Published by : INTERNET OF THINGS (IOT):
 The internet of things is a simple term for a grandiose concept. IoT is the connection of all devices to the internet and each other. As Wired said, ""it's built on cloud computing and networks of data-gather sensors; it's mobile, virtual, and instantaneous connection."" This interconnection will enable ""smart factories"" to take shape as equipment will use data to manufacture, move, and report and learn at astounding rates, efficiently."
"Federated Learning for the Internet of Things: Applications, Challenges, and Opportunities","https://scispace.com/paper/federated-learning-for-the-internet-of-things-applications-1m2pk56e","2022","Journal Article","IEEE internet of things magazine","","10.1109/iotm.004.2100182","https://scispace.com/pdf/federated-learning-for-the-internet-of-things-applications-1m2pk56e.pdf","Billions of IoT devices will be deployed in the near future, taking advantage of faster Internet speed and the possibility of orders of magnitude more endpoints brought by 5G/6G. With the growth of IoT devices, vast quantities of data that may contain users' private information will be generated. The high communication and storage costs, mixed with privacy concerns, will increasingly challenge the traditional eco-system of centralized over-the-cloud learning and processing for IoT platforms. Federated learning (FL) has emerged as the most promising alternative approach to this problem. In FL, training data-driven machine learning models is an act of collaboration between multiple clients without requiring the data to be brought to a central point, hence alleviating communication and storage costs and providing a great degree of user-level privacy. However, there are still some challenges existing in the real FL system implementation on IoT networks. In this article, we discuss the opportunities and challenges of FL in IoT platforms, as well as how it can enable diverse IoT applications. In particular, we identify and discuss seven critical challenges of FL in IoT platforms and highlight some recent promising approaches toward addressing them. ","learn nothing more than the information needed to play its role. The raw data never leaves the devices during the federated training process, and only the updates of the model are sent to the central server, which minimizes the risk of personal data leakage. II. WHY FEDERATED LEARNING FOR IOT?:
 • Improving Model Performance: Due to device constraints, a single IoT device may not have sufficient data to learn a high-quality model by itself. Under the FL framework, all the IoT devices can collaboratively train a high-quality model such that each participant could benefit from learning data collected by others beyond its own data but without probing others' private information. Moreover, as the FL could update the local model periodically, the edge device could always update its model in a time-varying manner. Thus, FL is an effective mechanism to enhance the model performance that each individual device cannot achieve by itself. II. WHY FEDERATED LEARNING FOR IOT?:
 • Flexible Scalability: The distributed nature of FL is able to leverage the constrained computation resources located at multiple IoT devices across different geographical locations in a parallel manner. As edge device hardware capability is increasing, the data size of each individual becomes huge, and centralizing all data to the server either wastes the computing resource at the edge or brings pressure for wireless communication network, which become an obstacle for the network scalability. By attracting more devices to join the framework, FL enhances the scalability of IoT networks without adding an extra burden on a centralized server due to its distributed learning nature. In addition, within the FL framework, there is no need for the expansive transmission of raw IoT-collected data, which also increases the scalability with regard to communication costs, especially for the low bandwidth IoT networks. III. APPLICATIONS:
 Benefited from the advantages mentioned above, FL has enabled many important IoT applications. In this section, we briefly discuss some of the most important ones (Figure ). A. Industry 4.0:
 The rapid development in the Industrial Internet of Things (IIoT) brings several advances in information technology applications for the manufacturing field. The concept of Industry 4.0, also known as the fourth industrial revolution, has been proposed based on the emergence of significance for the inter-connectivity of IIoT and the access to real-time data. With unprecedented connectivity, Industry 4.0 will bring greater insight, control, and data visibility for the supply chain However, there are still some real-world problems challenging the deployment of Industry 4.0. First, the amount of data generated from a single factory may not be sufficient enough for training a reliable model comprehensively. Second, the data collected by the industrial IoT devices is highly related to the commercial value, which makes privacy-preserving important. For example, eavesdroppers may infer the capacity for manufacture from its electricity usage for industrial IoT users. The federated learning framework will become an inspired solution to address the above challenges."
